Date,Positive Total,Positive New
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,28,14
3/7/2020,72,44
3/8/2020,91,19
3/9/2020,96,5
3/10/2020,110,14
3/11/2020,132,22
3/12/2020,161,29
3/13/2020,222,61
3/14/2020,295,73
3/15/2020,363,68
3/16/2020,513,150
3/17/2020,762,249
3/18/2020,1021,259
3/19/2020,1299,278
3/20/2020,1687,388
3/21/2020,2009,322
3/22/2020,2295,286
3/23/2020,2904,609
3/24/2020,3622,718
3/25/2020,4368,746
3/26/2020,5304,936
3/27/2020,6247,943
3/28/2020,6901,654
3/29/2020,7424,523
3/30/2020,8662,1238
3/31/2020,9928,1266
4/1/2020,11267,1339
4/2/2020,12545,1278
4/3/2020,14025,1480
4/4/2020,15188,1163
4/5/2020,16165,977
4/6/2020,18097,1932
4/7/2020,20119,2022
4/8/2020,21983,1864
4/9/2020,23961,1978
4/10/2020,26015,2054
4/11/2020,27312,1297
4/12/2020,28242,930
4/13/2020,30259,2017
4/14/2020,33130,2871
4/15/2020,35729,2599
4/16/2020,38116,2387
4/17/2020,41108,2992
4/18/2020,42589,1481
4/19/2020,43678,1089
4/20/2020,46368,2690
4/21/2020,48556,2188
4/22/2020,51268,2712
4/23/2020,53676,2408
4/24/2020,55959,2283
4/25/2020,57455,1496
4/26/2020,58302,847
4/27/2020,60432,2130
4/28/2020,62539,2107
4/29/2020,64729,2190
4/30/2020,66777,2048
5/1/2020,68861,2084
5/2/2020,69892,1031
5/3/2020,70627,735
5/4/2020,72508,1881
5/5/2020,74246,1738
5/6/2020,75946,1700
5/7/2020,77629,1683
5/8/2020,79090,1461
5/9/2020,79774,684
5/10/2020,80160,386
5/11/2020,81473,1313
5/12/2020,82929,1456
5/13/2020,84249,1320
5/14/2020,85565,1316
5/15/2020,86672,1107
5/16/2020,87322,650
5/17/2020,87688,366
5/18/2020,89014,1326
5/19/2020,90092,1078
5/20/2020,91112,1020
5/21/2020,92081,969
5/22/2020,92947,866
5/23/2020,93337,390
5/24/2020,93639,302
5/25/2020,93837,198
5/26/2020,94704,867
5/27/2020,95398,694
5/28/2020,96043,645
5/29/2020,96576,533
5/30/2020,96846,270
5/31/2020,97008,162
6/1/2020,97516,508
6/2/2020,97963,447
6/3/2020,98425,462
6/4/2020,98807,382
6/5/2020,99146,339
6/6/2020,99295,149
6/7/2020,99446,151
6/8/2020,99802,356
6/9/2020,100147,345
6/10/2020,100404,257
6/11/2020,100633,229
6/12/2020,100890,257
6/13/2020,100988,98
6/14/2020,101065,77
6/15/2020,101300,235
6/16/2020,101500,200
6/17/2020,101749,249
6/18/2020,101990,241
6/19/2020,102166,176
6/20/2020,102259,93
6/21/2020,102338,79
6/22/2020,102564,226
6/23/2020,102754,190
6/24/2020,102965,211
6/25/2020,103170,205
6/26/2020,103370,200
6/27/2020,103504,134
6/28/2020,103575,71
6/29/2020,103777,202
6/30/2020,103997,220
7/1/2020,104215,218
7/2/2020,104440,225
7/3/2020,104538,98
7/4/2020,104599,61
7/5/2020,104700,101
7/6/2020,104939,239
7/7/2020,105180,241
7/8/2020,105394,214
7/9/2020,105648,254
7/10/2020,105878,230
7/11/2020,105995,117
7/12/2020,106084,89
7/13/2020,106352,268
7/14/2020,106584,232
7/15/2020,106883,299
7/16/2020,107128,245
7/17/2020,107354,226
7/18/2020,107483,129
7/19/2020,107558,75
7/20/2020,107838,280
7/21/2020,108099,261
7/22/2020,108361,262
7/23/2020,108620,259
7/24/2020,108881,261
7/25/2020,109041,160
7/26/2020,109142,101
7/27/2020,109505,363
7/28/2020,109825,320
7/29/2020,110143,318
7/30/2020,110482,339
7/31/2020,110803,321
8/1/2020,110951,148
8/2/2020,111063,112
8/3/2020,111425,362
8/4/2020,111734,309
8/5/2020,112064,330
8/6/2020,112427,363
8/7/2020,112728,301
8/8/2020,112899,171
8/9/2020,112986,87
8/10/2020,113359,373
8/11/2020,113643,284
8/12/2020,113951,308
8/13/2020,114303,352
8/14/2020,114649,346
8/15/2020,114801,152
8/16/2020,114921,120
8/17/2020,115294,373
8/18/2020,115678,384
8/19/2020,116019,341
8/20/2020,116372,353
8/21/2020,116645,273
8/22/2020,116792,147
8/23/2020,116886,94
8/24/2020,117212,326
8/25/2020,117394,182
8/26/2020,117450,56
8/27/2020,117450,0
