Date of Death,Confirmed Deaths,Confirmed Total,Probable Deaths,Probable Total
3/10/2020,0,0,0,0
3/11/2020,0,0,0,0
3/12/2020,0,0,0,0
3/13/2020,0,0,0,0
3/14/2020,0,0,0,0
3/15/2020,0,0,0,0
3/16/2020,0,0,0,0
3/17/2020,0,0,0,0
3/18/2020,2,2,0,0
3/19/2020,1,3,0,0
3/20/2020,2,5,0,0
3/21/2020,2,7,0,0
3/22/2020,4,11,0,0
3/23/2020,6,17,0,0
3/24/2020,9,26,0,0
3/25/2020,7,33,0,0
3/26/2020,9,42,1,1
3/27/2020,15,57,0,1
3/28/2020,15,72,0,1
3/29/2020,25,97,1,2
3/30/2020,28,125,0,2
3/31/2020,28,153,0,2
4/1/2020,36,189,0,2
4/2/2020,41,230,2,4
4/3/2020,38,268,1,5
4/4/2020,38,306,1,6
4/5/2020,68,374,0,6
4/6/2020,79,453,1,7
4/7/2020,71,524,0,7
4/8/2020,100,624,3,10
4/9/2020,113,737,3,13
4/10/2020,108,845,2,15
4/11/2020,120,965,4,19
4/12/2020,114,1079,5,24
4/13/2020,162,1241,7,31
4/14/2020,122,1363,9,40
4/15/2020,177,1540,6,46
4/16/2020,174,1714,4,50
4/17/2020,167,1881,8,58
4/18/2020,171,2052,5,63
4/19/2020,178,2230,4,67
4/20/2020,173,2403,10,77
4/21/2020,160,2563,2,79
4/22/2020,152,2715,1,80
4/23/2020,190,2905,5,85
4/24/2020,197,3102,6,91
4/25/2020,151,3253,2,93
4/26/2020,150,3403,4,97
4/27/2020,158,3561,5,102
4/28/2020,141,3702,5,107
4/29/2020,165,3867,6,113
4/30/2020,143,4010,2,115
5/1/2020,176,4186,3,118
5/2/2020,144,4330,3,121
5/3/2020,137,4467,3,124
5/4/2020,135,4602,4,128
5/5/2020,137,4739,5,133
5/6/2020,139,4878,6,139
5/7/2020,130,5008,2,141
5/8/2020,110,5118,6,147
5/9/2020,104,5222,9,156
5/10/2020,126,5348,1,157
5/11/2020,127,5475,3,160
5/12/2020,113,5588,4,164
5/13/2020,114,5702,1,165
5/14/2020,100,5802,4,169
5/15/2020,119,5921,4,173
5/16/2020,85,6006,7,180
5/17/2020,83,6089,0,180
5/18/2020,97,6186,1,181
5/19/2020,74,6260,2,183
5/20/2020,84,6344,0,183
5/21/2020,67,6411,3,186
5/22/2020,82,6493,2,188
5/23/2020,71,6564,1,189
5/24/2020,60,6624,2,191
5/25/2020,65,6689,2,193
5/26/2020,73,6762,0,193
5/27/2020,64,6826,1,194
5/28/2020,51,6877,0,194
5/29/2020,57,6934,2,196
5/30/2020,56,6990,1,197
5/31/2020,55,7045,0,197
6/1/2020,34,7079,0,197
6/2/2020,51,7130,1,198
6/3/2020,41,7171,0,198
6/4/2020,44,7215,0,198
6/5/2020,26,7241,0,198
6/6/2020,44,7285,0,198
6/7/2020,37,7322,1,199
6/8/2020,38,7360,0,199
6/9/2020,33,7393,0,199
6/10/2020,35,7428,0,199
6/11/2020,33,7461,0,199
6/12/2020,39,7500,0,199
6/13/2020,26,7526,1,200
6/14/2020,31,7557,0,200
6/15/2020,35,7592,1,201
6/16/2020,16,7608,0,201
6/17/2020,28,7636,0,201
6/18/2020,23,7659,0,201
6/19/2020,33,7692,0,201
6/20/2020,16,7708,0,201
6/21/2020,31,7739,0,201
6/22/2020,21,7760,0,201
6/23/2020,29,7789,0,201
6/24/2020,25,7814,0,201
6/25/2020,18,7832,0,201
6/26/2020,21,7853,0,201
6/27/2020,22,7875,0,201
6/28/2020,20,7895,0,201
