Date,Positive Total,Positive New
1/29/2020,1,1
1/30/2020,1,0
1/31/2020,1,0
2/1/2020,1,0
2/2/2020,1,0
2/3/2020,1,0
2/4/2020,1,0
2/5/2020,1,0
2/6/2020,2,1
2/7/2020,2,0
2/8/2020,2,0
2/9/2020,2,0
2/10/2020,2,0
2/11/2020,2,0
2/12/2020,2,0
2/13/2020,2,0
2/14/2020,2,0
2/15/2020,2,0
2/16/2020,2,0
2/17/2020,2,0
2/18/2020,2,0
2/19/2020,2,0
2/20/2020,2,0
2/21/2020,2,0
2/22/2020,2,0
2/23/2020,2,0
2/24/2020,2,0
2/25/2020,2,0
2/26/2020,2,0
2/27/2020,2,0
2/28/2020,2,0
2/29/2020,2,0
3/1/2020,3,1
3/2/2020,3,0
3/3/2020,4,1
3/4/2020,6,2
3/5/2020,14,8
3/6/2020,28,14
3/7/2020,72,44
3/8/2020,91,19
3/9/2020,96,5
3/10/2020,110,14
3/11/2020,132,22
3/12/2020,161,29
3/13/2020,222,61
3/14/2020,295,73
3/15/2020,363,68
3/16/2020,513,150
3/17/2020,762,249
3/18/2020,1021,259
3/19/2020,1299,278
3/20/2020,1687,388
3/21/2020,2009,322
3/22/2020,2295,286
3/23/2020,2904,609
3/24/2020,3622,718
3/25/2020,4368,746
3/26/2020,5304,936
3/27/2020,6247,943
3/28/2020,6901,654
3/29/2020,7424,523
3/30/2020,8662,1238
3/31/2020,9928,1266
4/1/2020,11266,1338
4/2/2020,12544,1278
4/3/2020,14024,1480
4/4/2020,15187,1163
4/5/2020,16164,977
4/6/2020,18096,1932
4/7/2020,20118,2022
4/8/2020,21982,1864
4/9/2020,23960,1978
4/10/2020,26014,2054
4/11/2020,27311,1297
4/12/2020,28240,929
4/13/2020,30257,2017
4/14/2020,33128,2871
4/15/2020,35727,2599
4/16/2020,38114,2387
4/17/2020,41106,2992
4/18/2020,42587,1481
4/19/2020,43676,1089
4/20/2020,46366,2690
4/21/2020,48554,2188
4/22/2020,51266,2712
4/23/2020,53674,2408
4/24/2020,55957,2283
4/25/2020,57453,1496
4/26/2020,58300,847
4/27/2020,60430,2130
4/28/2020,62537,2107
4/29/2020,64727,2190
4/30/2020,66775,2048
5/1/2020,68859,2084
5/2/2020,69890,1031
5/3/2020,70625,735
5/4/2020,72506,1881
5/5/2020,74244,1738
5/6/2020,75944,1700
5/7/2020,77627,1683
5/8/2020,79088,1461
5/9/2020,79772,684
5/10/2020,80158,386
5/11/2020,81471,1313
5/12/2020,82927,1456
5/13/2020,84247,1320
5/14/2020,85563,1316
5/15/2020,86670,1107
5/16/2020,87320,650
5/17/2020,87686,366
5/18/2020,89012,1326
5/19/2020,90090,1078
5/20/2020,91110,1020
5/21/2020,92079,969
5/22/2020,92945,866
5/23/2020,93335,390
5/24/2020,93637,302
5/25/2020,93835,198
5/26/2020,94702,867
5/27/2020,95396,694
5/28/2020,96041,645
5/29/2020,96574,533
5/30/2020,96844,270
5/31/2020,97006,162
6/1/2020,97514,508
6/2/2020,97961,447
6/3/2020,98423,462
6/4/2020,98806,383
6/5/2020,99145,339
6/6/2020,99294,149
6/7/2020,99445,151
6/8/2020,99800,355
6/9/2020,100145,345
6/10/2020,100402,257
6/11/2020,100631,229
6/12/2020,100887,256
6/13/2020,100985,98
6/14/2020,101062,77
6/15/2020,101297,235
6/16/2020,101497,200
6/17/2020,101746,249
6/18/2020,101987,241
6/19/2020,102163,176
6/20/2020,102256,93
6/21/2020,102335,79
6/22/2020,102563,228
6/23/2020,102752,189
6/24/2020,102963,211
6/25/2020,103168,205
6/26/2020,103368,200
6/27/2020,103502,134
6/28/2020,103571,69
6/29/2020,103772,201
6/30/2020,103992,220
7/1/2020,104210,218
7/2/2020,104434,224
7/3/2020,104532,98
7/4/2020,104593,61
7/5/2020,104693,100
7/6/2020,104932,239
7/7/2020,105173,241
7/8/2020,105387,214
7/9/2020,105640,253
7/10/2020,105870,230
7/11/2020,105986,116
7/12/2020,106075,89
7/13/2020,106342,267
7/14/2020,106575,233
7/15/2020,106875,300
7/16/2020,107120,245
7/17/2020,107345,225
7/18/2020,107474,129
7/19/2020,107548,74
7/20/2020,107828,280
7/21/2020,108089,261
7/22/2020,108349,260
7/23/2020,108608,259
7/24/2020,108867,259
7/25/2020,109027,160
7/26/2020,109129,102
7/27/2020,109492,363
7/28/2020,109812,320
7/29/2020,110127,315
7/30/2020,110468,341
7/31/2020,110790,322
8/1/2020,110938,148
8/2/2020,111050,112
8/3/2020,111412,362
8/4/2020,111719,307
8/5/2020,112053,334
8/6/2020,112413,360
8/7/2020,112715,302
8/8/2020,112883,168
8/9/2020,112970,87
8/10/2020,113347,377
8/11/2020,113619,272
8/12/2020,113904,285
8/13/2020,114188,284
8/14/2020,114384,196
8/15/2020,114398,14
8/16/2020,114398,0
